instrument,energy_kev,counts,error
pn,0.4,2.0,1.4142135623730951
pn,0.401,1.0,1.0
pn,0.402,0.0,1.0
pn,0.403,2.0,1.4142135623730951
pn,0.404,2.0,1.4142135623730951
pn,0.405,1.0,1.0
pn,0.406,1.0,1.0
pn,0.407,1.0,1.0
pn,0.408,0.0,1.0
pn,0.409,1.0,1.0
pn,0.41,1.0,1.0
pn,0.411,1.0,1.0
pn,0.412,1.0,1.0
pn,0.413,1.0,1.0
pn,0.414,1.0,1.0
pn,0.415,3.0,1.7320508075688772
pn,0.416,1.0,1.0
pn,0.417,1.0,1.0
pn,0.418,0.0,1.0
pn,0.419,1.0,1.0
pn,0.42,1.0,1.0
pn,0.421,4.0,2.0
pn,0.422,1.0,1.0
pn,0.423,2.0,1.4142135623730951
pn,0.424,0.0,1.0
pn,0.425,0.0,1.0
pn,0.426,0.0,1.0
pn,0.427,1.0,1.0
pn,0.428,1.0,1.0
pn,0.429,1.0,1.0
pn,0.43,1.0,1.0
pn,0.431,2.0,1.4142135623730951
pn,0.432,1.0,1.0
pn,0.433,0.0,1.0
pn,0.434,3.0,1.7320508075688772
pn,0.435,0.0,1.0
pn,0.436,1.0,1.0
pn,0.437,1.0,1.0
pn,0.438,1.0,1.0
pn,0.439,1.0,1.0
pn,0.44,3.0,1.7320508075688772
pn,0.441,0.0,1.0
pn,0.442,0.0,1.0
pn,0.443,0.0,1.0
pn,0.444,0.0,1.0
pn,0.445,0.0,1.0
pn,0.446,2.0,1.4142135623730951
pn,0.447,1.0,1.0
pn,0.448,0.0,1.0
pn,0.449,1.0,1.0
pn,0.45,1.0,1.0
pn,0.451,1.0,1.0
pn,0.452,1.0,1.0
pn,0.453,1.0,1.0
pn,0.454,1.0,1.0
pn,0.455,0.0,1.0
pn,0.456,1.0,1.0
pn,0.457,1.0,1.0
pn,0.458,1.0,1.0
pn,0.459,0.0,1.0
pn,0.46,0.0,1.0
pn,0.461,0.0,1.0
pn,0.462,0.0,1.0
pn,0.463,0.0,1.0
pn,0.464,0.0,1.0
pn,0.465,0.0,1.0
pn,0.466,0.0,1.0
pn,0.467,0.0,1.0
pn,0.468,0.0,1.0
pn,0.469,0.0,1.0
pn,0.47,1.0,1.0
pn,0.471,0.0,1.0
pn,0.472,0.0,1.0
pn,0.473,0.0,1.0
pn,0.474,0.0,1.0
pn,0.475,0.0,1.0
pn,0.476,1.0,1.0
pn,0.477,1.0,1.0
pn,0.478,2.0,1.4142135623730951
pn,0.479,0.0,1.0
pn,0.48,2.0,1.4142135623730951
pn,0.481,0.0,1.0
pn,0.482,1.0,1.0
pn,0.483,2.0,1.4142135623730951
pn,0.484,1.0,1.0
pn,0.485,0.0,1.0
pn,0.486,1.0,1.0
pn,0.487,1.0,1.0
pn,0.488,0.0,1.0
pn,0.489,0.0,1.0
pn,0.49,1.0,1.0
pn,0.491,0.0,1.0
pn,0.492,0.0,1.0
pn,0.493,1.0,1.0
pn,0.494,0.0,1.0
pn,0.495,0.0,1.0
pn,0.496,2.0,1.4142135623730951
pn,0.497,0.0,1.0
pn,0.498,0.0,1.0
pn,0.499,1.0,1.0
pn,0.5,0.0,1.0
pn,0.501,0.0,1.0
pn,0.502,0.0,1.0
pn,0.503,0.0,1.0
pn,0.504,1.0,1.0
pn,0.505,0.0,1.0
pn,0.506,0.0,1.0
pn,0.507,1.0,1.0
pn,0.508,0.0,1.0
pn,0.509,0.0,1.0
pn,0.51,1.0,1.0
pn,0.511,0.0,1.0
pn,0.512,2.0,1.4142135623730951
pn,0.513,0.0,1.0
pn,0.514,0.0,1.0
pn,0.515,0.0,1.0
pn,0.516,1.0,1.0
pn,0.517,0.0,1.0
pn,0.518,1.0,1.0
pn,0.519,1.0,1.0
pn,0.52,1.0,1.0
pn,0.521,1.0,1.0
pn,0.522,0.0,1.0
pn,0.523,0.0,1.0
pn,0.524,1.0,1.0
pn,0.525,0.0,1.0
pn,0.526,0.0,1.0
pn,0.527,0.0,1.0
pn,0.528,0.0,1.0
pn,0.529,0.0,1.0
pn,0.53,2.0,1.4142135623730951
pn,0.531,0.0,1.0
pn,0.532,0.0,1.0
pn,0.533,1.0,1.0
pn,0.534,0.0,1.0
pn,0.535,0.0,1.0
pn,0.536,0.0,1.0
pn,0.537,1.0,1.0
pn,0.538,0.0,1.0
pn,0.539,0.0,1.0
pn,0.54,0.0,1.0
pn,0.541,0.0,1.0
pn,0.542,1.0,1.0
pn,0.543,0.0,1.0
pn,0.544,1.0,1.0
pn,0.545,0.0,1.0
pn,0.546,0.0,1.0
pn,0.547,0.0,1.0
pn,0.548,0.0,1.0
pn,0.549,0.0,1.0
pn,0.55,0.0,1.0
pn,0.551,0.0,1.0
pn,0.552,0.0,1.0
pn,0.553,0.0,1.0
pn,0.554,0.0,1.0
pn,0.555,0.0,1.0
